,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,Participant,Domain,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,Disagree,Neutral,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Neutral,Strongly Disagree,Neutral,Disagree,Agree,Disagree,Agree,Neutral,Neutral,Agree,Agree,Neutral,Strongly Disagree,598,Hiring,,,,,,,,,,,,,,,,,,,,
1,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Neutral,527,Hiring,,,,,,,,,,,,,,,,,,,,
2,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,222,Hiring,,,,,,,,,,,,,,,,,,,,
3,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,207,Hiring,,,,,,,,,,,,,,,,,,,,
4,Neutral,Agree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Disagree,Disagree,Neutral,Neutral,Agree,Disagree,261,Hiring,,,,,,,,,,,,,,,,,,,,
5,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Neutral,Disagree,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,361,Hiring,,,,,,,,,,,,,,,,,,,,
6,Neutral,Neutral,Agree,Neutral,Disagree,Neutral,Neutral,Neutral,Disagree,Neutral,Disagree,Strongly Disagree,Neutral,Agree,Neutral,Strongly Agree,Agree,Agree,Agree,Agree,293,Hiring,,,,,,,,,,,,,,,,,,,,
7,Agree,Agree,Agree,Neutral,Disagree,Neutral,Agree,Neutral,Agree,Agree,Neutral,Disagree,Disagree,Disagree,Neutral,Disagree,Neutral,Disagree,Neutral,Neutral,68,Hiring,,,,,,,,,,,,,,,,,,,,
8,Neutral,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Neutral,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Disagree,19,Hiring,,,,,,,,,,,,,,,,,,,,
9,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,406,Hiring,,,,,,,,,,,,,,,,,,,,
10,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Disagree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Neutral,419,Hiring,,,,,,,,,,,,,,,,,,,,
11,Agree,Agree,Strongly Agree,Agree,Neutral,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Neutral,Agree,Agree,507,Hiring,,,,,,,,,,,,,,,,,,,,
12,Agree,Agree,Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Strongly Agree,563,Hiring,,,,,,,,,,,,,,,,,,,,
13,Disagree,Disagree,Strongly Agree,Disagree,Neutral,Agree,Neutral,Neutral,Disagree,Neutral,Disagree,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Agree,Neutral,Disagree,226,Hiring,,,,,,,,,,,,,,,,,,,,
14,Neutral,Agree,Strongly Agree,Disagree,Neutral,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Strongly Disagree,Neutral,Disagree,Disagree,Neutral,Strongly Disagree,Agree,Agree,458,Hiring,,,,,,,,,,,,,,,,,,,,
