,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,Participant,Domain,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Neutral,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,160,Hiring,,,,,,,,,,,,,,,,,,,,,,
1,Agree,Agree,Neutral,Disagree,Neutral,Agree,Neutral,Disagree,Neutral,Neutral,Disagree,Disagree,Disagree,Neutral,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,87,Hiring,,,,,,,,,,,,,,,,,,,,,,
2,Agree,Neutral,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,480,Hiring,,,,,,,,,,,,,,,,,,,,,,
3,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,420,Hiring,,,,,,,,,,,,,,,,,,,,,,
4,Agree,Agree,Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,148,Hiring,,,,,,,,,,,,,,,,,,,,,,
5,Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,532,Hiring,,,,,,,,,,,,,,,,,,,,,,
6,Neutral,Agree,Disagree,Agree,Disagree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Neutral,279,Hiring,,,,,,,,,,,,,,,,,,,,,,
7,Agree,Agree,Agree,Neutral,Disagree,Agree,Neutral,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,157,Hiring,,,,,,,,,,,,,,,,,,,,,,
8,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Disagree,658,Hiring,,,,,,,,,,,,,,,,,,,,,,
9,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,6,Hiring,,,,,,,,,,,,,,,,,,,,,,
10,Strongly Agree,Agree,Agree,Agree,Disagree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,167,Hiring,,,,,,,,,,,,,,,,,,,,,,
11,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,178,Hiring,,,,,,,,,,,,,,,,,,,,,,
12,Agree,Neutral,Agree,Agree,Disagree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Strongly Agree,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Agree,558,Hiring,,,,,,,,,,,,,,,,,,,,,,
13,Agree,Disagree,Neutral,Neutral,Disagree,Agree,Neutral,Disagree,Disagree,Neutral,Neutral,Disagree,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,203,Hiring,,,,,,,,,,,,,,,,,,,,,,
14,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,417,Hiring,,,,,,,,,,,,,,,,,,,,,,
15,Agree,Disagree,Disagree,Disagree,Disagree,Neutral,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,368,Hiring,,,,,,,,,,,,,,,,,,,,,,
16,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Neutral,Disagree,Strongly Disagree,Neutral,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,198,Hiring,,,,,,,,,,,,,,,,,,,,,,
17,Disagree,Neutral,Agree,Strongly Disagree,Neutral,Neutral,Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Neutral,Neutral,625,Hiring,,,,,,,,,,,,,,,,,,,,,,
18,Disagree,Disagree,Agree,Disagree,Disagree,Neutral,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Neutral,Agree,Neutral,Disagree,Disagree,Neutral,Disagree,Disagree,Disagree,192,Hiring,,,,,,,,,,,,,,,,,,,,,,
19,Agree,Agree,Neutral,Disagree,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Neutral,594,Hiring,,,,,,,,,,,,,,,,,,,,,,
20,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,642,Hiring,,,,,,,,,,,,,,,,,,,,,,
21,Neutral,Disagree,Neutral,Neutral,Disagree,Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,397,Hiring,,,,,,,,,,,,,,,,,,,,,,
22,Agree,Agree,Agree,Neutral,Disagree,Agree,Neutral,Neutral,Agree,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Disagree,Agree,Disagree,Disagree,Disagree,323,Hiring,,,,,,,,,,,,,,,,,,,,,,
23,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,488,Hiring,,,,,,,,,,,,,,,,,,,,,,
24,Agree,Agree,Agree,Disagree,Disagree,Agree,Neutral,Disagree,Neutral,Neutral,Disagree,Disagree,Neutral,Neutral,Disagree,Disagree,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,177,Hiring,,,,,,,,,,,,,,,,,,,,,,
25,Agree,Agree,Neutral,Disagree,Neutral,Neutral,Disagree,Disagree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Neutral,Neutral,Neutral,465,Hiring,,,,,,,,,,,,,,,,,,,,,,
26,Neutral,Neutral,Agree,Agree,Disagree,Agree,Agree,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Disagree,Disagree,Disagree,641,Hiring,,,,,,,,,,,,,,,,,,,,,,
27,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Neutral,Neutral,Strongly Agree,Agree,Agree,Agree,Agree,485,Hiring,,,,,,,,,,,,,,,,,,,,,,
28,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Agree,Disagree,Neutral,Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Agree,Agree,Disagree,Agree,Neutral,53,Hiring,,,,,,,,,,,,,,,,,,,,,,
29,Neutral,Disagree,Agree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,637,Hiring,,,,,,,,,,,,,,,,,,,,,,
30,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,13,Hiring,,,,,,,,,,,,,,,,,,,,,,
31,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Disagree,Disagree,Neutral,Neutral,Agree,Agree,Neutral,Disagree,Neutral,Disagree,Disagree,Neutral,578,Hiring,,,,,,,,,,,,,,,,,,,,,,
32,Strongly Agree,Neutral,Neutral,Disagree,Strongly Agree,Strongly Agree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,387,Hiring,,,,,,,,,,,,,,,,,,,,,,
33,Agree,Agree,Strongly Agree,Disagree,Neutral,Neutral,Strongly Agree,Neutral,Agree,Agree,Neutral,Neutral,Strongly Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Agree,248,Hiring,,,,,,,,,,,,,,,,,,,,,,
34,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,513,Hiring,,,,,,,,,,,,,,,,,,,,,,
35,Neutral,Agree,Strongly Agree,Neutral,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Neutral,Disagree,Disagree,Strongly Disagree,Neutral,Disagree,254,Hiring,,,,,,,,,,,,,,,,,,,,,,
36,Agree,Agree,Neutral,Agree,Disagree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Neutral,Disagree,Neutral,Disagree,Disagree,Disagree,Neutral,Neutral,Agree,Neutral,Agree,Neutral,607,Hiring,,,,,,,,,,,,,,,,,,,,,,
37,Agree,Disagree,Neutral,Disagree,Disagree,Agree,Agree,Disagree,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Neutral,Disagree,Neutral,Disagree,96,Hiring,,,,,,,,,,,,,,,,,,,,,,
38,Agree,Agree,Strongly Agree,Agree,Strongly Disagree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,400,Hiring,,,,,,,,,,,,,,,,,,,,,,
39,Agree,Neutral,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Neutral,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Neutral,Agree,575,Hiring,,,,,,,,,,,,,,,,,,,,,,
40,Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Neutral,Agree,Neutral,Strongly Agree,Agree,Agree,Agree,344,Hiring,,,,,,,,,,,,,,,,,,,,,,
41,Neutral,Disagree,Neutral,Disagree,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Disagree,Disagree,Neutral,Neutral,Disagree,Disagree,Neutral,Disagree,Disagree,Disagree,Neutral,Disagree,680,Hiring,,,,,,,,,,,,,,,,,,,,,,
42,Strongly Agree,Agree,Agree,Agree,Neutral,Agree,Strongly Agree,Agree,Agree,Neutral,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,185,Hiring,,,,,,,,,,,,,,,,,,,,,,
43,Strongly Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,471,Hiring,,,,,,,,,,,,,,,,,,,,,,
44,Agree,Agree,Neutral,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Agree,Agree,191,Hiring,,,,,,,,,,,,,,,,,,,,,,
45,Agree,Neutral,Agree,Neutral,Agree,Agree,Disagree,Disagree,Neutral,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,187,Hiring,,,,,,,,,,,,,,,,,,,,,,
46,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,156,Hiring,,,,,,,,,,,,,,,,,,,,,,
47,Strongly Agree,Agree,Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,190,Hiring,,,,,,,,,,,,,,,,,,,,,,
48,Disagree,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Disagree,Agree,Agree,396,Hiring,,,,,,,,,,,,,,,,,,,,,,
49,Neutral,Strongly Agree,Agree,Strongly Disagree,Agree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Disagree,Neutral,Strongly Disagree,Neutral,Disagree,Strongly Disagree,Disagree,435,Hiring,,,,,,,,,,,,,,,,,,,,,,
50,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Disagree,Neutral,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,117,Hiring,,,,,,,,,,,,,,,,,,,,,,
