,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,4.0,5.0,5.0,4.0,2.0,4.0,4.0,4.0,2.0,1.0,2.0,2.0,3.0,2.0,4.0,2.0,4.0,2.0,2.0,4.0
1,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
2,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
4,4.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0,2.0,2.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,1.0
5,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0
6,3.0,2.0,2.0,3.0,4.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,4.0,2.0,1.0
7,5.0,2.0,4.0,5.0,1.0,5.0,4.0,3.0,2.0,5.0,4.0,2.0,2.0,5.0,3.0,1.0,2.0,1.0,3.0,5.0
8,1.0,1.0,4.0,1.0,1.0,4.0,1.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
9,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
10,5.0,1.0,5.0,3.0,1.0,3.0,5.0,5.0,2.0,3.0,1.0,3.0,4.0,4.0,3.0,4.0,1.0,1.0,3.0,4.0
11,4.0,2.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,5.0,4.0,2.0,4.0,5.0,4.0,4.0,4.0,4.0
12,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
13,4.0,2.0,4.0,3.0,1.0,3.0,4.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,3.0,4.0,4.0,2.0,2.0,2.0
14,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
